10,76.5950000000000
20,76.5620000000000
30,76.4970000000000
40,76.4010000000000
50,76.2780000000000
60,76.1280000000000
70,75.9560000000000
80,75.7610000000000
90,75.5460000000000
100,75.3140000000000
110,75.0650000000000
120,74.8010000000000
130,74.5240000000000
140,74.2360000000000
150,73.9370000000000
160,73.6290000000000
170,73.3140000000000
180,72.9910000000000
190,72.6630000000000
200,72.3310000000000
210,71.9950000000000
220,71.6550000000000
230,71.3140000000000
240,70.9710000000000
250,70.6260000000000
260,70.2820000000000
270,69.9360000000000
280,69.5910000000000
290,69.2470000000000
300,68.9020000000000
310,68.5580000000000
320,68.2140000000000
330,67.8710000000000
340,67.5270000000000
350,67.1840000000000
360,66.8400000000000
370,66.4940000000000
380,66.1470000000000
390,65.7980000000000
400,65.4450000000000
410,65.0890000000000
420,64.7280000000000
430,64.3620000000000
440,63.9890000000000
450,63.6080000000000
460,63.2180000000000
470,62.8180000000000
480,62.4060000000000
490,61.9800000000000
500,61.5400000000000
510,61.0840000000000
520,60.6090000000000
530,60.1150000000000
540,59.5990000000000
550,59.0590000000000
560,58.4930000000000
570,57.8990000000000
580,57.2750000000000
590,56.6190000000000
600,55.9270000000000
610,55.1990000000000
620,54.4300000000000
630,53.6190000000000
640,52.7620000000000
650,51.8580000000000
660,50.9020000000000
670,49.8920000000000
680,48.8260000000000
690,47.6990000000000
700,46.5080000000000
710,45.2510000000000
720,43.9240000000000
730,42.5230000000000
740,41.0460000000000
750,39.4870000000000
760,37.8430000000000
770,36.1120000000000
773,35.5740000000000
